Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
glass and glass products 231,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
cement and other nonmetallic minerals 239,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
iron and steel 241,5628462474,5193845136,5191999779,5120861484,5077560391,5058835057,5041161304.0,5023191384.0,5007253290.0,4968545584.0,4953067565.0,4916462001,4923059114,4867429339,4833890499,4821187153,4770019721,4740033206,4728571232,4718026419.0,4689741674.0,4679694746,4652492542.0,4609378161,4567590997,4575483484.0,4551634815.0,4527855264,4475439573,4438758756,4432420102.0
other metals 242,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
metal products except machinery and vehicles 25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
computers and electronics 26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
appliances and electrical equipment 27,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
other machinery 28,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
road vehicles 29,5628462474,5193845136,5191999779,5120861484,5077560391,5058835057,5041161304.0,5023191384.0,5007253290.0,4968545584.0,4953067565.0,4916462001,4923059114,4867429339,4833890499,4821187153,4770019721,4740033206,4728571232,4718026419.0,4689741674.0,4679694746,4652492542.0,4609378161,4567590997,4575483484.0,4551634815.0,4527855264,4475439573,4438758756,4432420102.0
nonroad vehicles 30,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
other manufacturing 31T33,163225411755,192172270028,197295991615,199713597882,203102415629,207412237320,206687613468.0,210974038124.0,215311891482.0,218616005717.0,222888040440.0,226157252050,226460719236,228769178928,232026743972,231416983364,233730966349,237001660291,236428561593,240619347344.00003,243866567049.00003,243344126805,246582104712.99997,248906420717,251217504815,251651591615.99994,254891549663.99997,258087750066,259575495211,261886766585,261512786046.00003
energy pipelines and gas processing 352T353,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
water and waste 36T39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
construction 41T43,61913087217,77907677038,77879996690,81933783747,81240966252,80941360905,85699742170.0,85394253526.0,85123305935.0,89433820521.0,89155216176.0,88496316020,88615064049,92481157439,91843919489,91602555915,90630374707,94800664116,94571424637,94360528370.0,93794833480.0,98273589671,97702343377.0,96796941390,100487001926,100660636646.0,100135965939.0,99612815815,102935110170,102091451381,101945662357.0
